Dates,3M Company
1 2006,4.26
2 2006,4.45
3 2006,4.54
4 2006,5.15
1 2007,5.83
2 2007,5.95
3 2007,6.1
4 2007,5.7
1 2008,5.21
2 2008,5.28
3 2008,5.36
4 2008,4.95
1 2009,4.3
2 2009,4.07
3 2009,4.01
4 2009,4.56
1 2010,5.11
2 2010,5.56
3 2010,5.74
4 2010,5.72
1 2011,5.94
2 2011,5.99
3 2011,5.98
4 2011,6.05
1 2012,6.14
2 2012,6.19
3 2012,6.33
4 2012,6.4
1 2013,6.42
2 2013,6.48
3 2013,6.61
4 2013,6.83
1 2014,7.02
2 2014,7.22
3 2014,7.43
4 2014,7.63
1 2015,7.7
2 2015,7.81
3 2015,7.88
4 2015,7.73
