Dates,3M Company (NYSE:MMM) - Basic EPS 
LTM1 2006,4.26
LTM2 2006,4.45
LTM3 2006,4.54
LTM4 2006,5.15
LTM1 2007,5.83
LTM2 2007,5.95
LTM3 2007,6.10
LTM4 2007,5.70
LTM1 2008,5.21
LTM2 2008,5.28
LTM3 2008,5.36
LTM4 2008,4.95
LTM1 2009,4.30
LTM2 2009,4.07
LTM3 2009,4.01
LTM4 2009,4.56
LTM1 2010,5.11
LTM2 2010,5.56
LTM3 2010,5.74
LTM4 2010,5.72
LTM1 2011,5.94
LTM2 2011,5.99
LTM3 2011,5.98
LTM4 2011,6.05
LTM1 2012,6.14
LTM2 2012,6.19
LTM3 2012,6.33
LTM4 2012,6.40
LTM1 2013,6.42
LTM2 2013,6.48
LTM3 2013,6.61
LTM4 2013,6.83
LTM1 2014,7.02
LTM2 2014,7.22
LTM3 2014,7.43
LTM4 2014,7.63
LTM1 2015,7.70
LTM2 2015,7.81
LTM3 2015,7.88
LTM4 2015,7.73
