Dates,3M Company (NYSE:MMM) - Share Pricing
Jan-03-2006,79.11
Jan-04-2006,78.71
Jan-05-2006,77.99
Jan-06-2006,78.63
Jan-09-2006,79.02
Jan-10-2006,78.53
Jan-11-2006,78.37
Jan-12-2006,77.70
Jan-13-2006,77.50
Jan-17-2006,77.09
Jan-18-2006,77.18
Jan-19-2006,76.91
Jan-20-2006,75.24
Jan-23-2006,75.70
Jan-24-2006,74.20
Jan-25-2006,73.00
Jan-26-2006,72.70
Jan-27-2006,72.65
Jan-30-2006,72.65
Jan-31-2006,72.75
Feb-01-2006,73.19
Feb-02-2006,72.15
Feb-03-2006,71.10
Feb-06-2006,71.17
Feb-07-2006,70.65
Feb-08-2006,71.00
Feb-09-2006,72.12
Feb-10-2006,72.61
Feb-13-2006,72.91
Feb-14-2006,73.70
Feb-15-2006,73.13
Feb-16-2006,73.05
Feb-17-2006,73.77
Feb-21-2006,73.20
Feb-22-2006,72.98
Feb-23-2006,73.65
Feb-24-2006,73.91
Feb-27-2006,73.69
Feb-28-2006,73.59
Mar-01-2006,73.67
Mar-02-2006,73.05
Mar-03-2006,72.88
Mar-06-2006,71.95
Mar-07-2006,72.27
Mar-08-2006,72.38
Mar-09-2006,71.80
Mar-10-2006,72.32
Mar-13-2006,72.09
Mar-14-2006,73.53
Mar-15-2006,74.00
Mar-16-2006,74.89
Mar-17-2006,74.79
Mar-20-2006,75.00
Mar-21-2006,74.93
Mar-22-2006,76.07
Mar-23-2006,76.77
Mar-24-2006,76.80
Mar-27-2006,76.84
Mar-28-2006,76.30
Mar-29-2006,77.56
Mar-30-2006,76.52
Mar-31-2006,75.69
Apr-03-2006,75.84
Apr-04-2006,77.00
Apr-05-2006,77.46
Apr-06-2006,81.38
Apr-07-2006,81.03
Apr-10-2006,80.98
Apr-11-2006,80.79
Apr-12-2006,81.10
Apr-13-2006,80.97
Apr-17-2006,80.26
Apr-18-2006,81.59
Apr-19-2006,81.88
Apr-20-2006,82.60
Apr-21-2006,85.06
Apr-24-2006,85.46
Apr-25-2006,84.81
Apr-26-2006,85.52
Apr-27-2006,85.23
Apr-28-2006,85.43
May-01-2006,84.97
May-02-2006,84.50
May-03-2006,85.90
May-04-2006,86.47
May-05-2006,87.30
May-08-2006,88.13
May-09-2006,87.58
May-10-2006,87.65
May-11-2006,87.17
May-12-2006,86.57
May-15-2006,87.12
May-16-2006,86.76
May-17-2006,84.42
May-18-2006,84.15
May-19-2006,84.31
May-22-2006,83.73
May-23-2006,83.44
May-24-2006,83.82
May-25-2006,83.26
May-26-2006,83.87
May-30-2006,83.46
May-31-2006,83.66
Jun-01-2006,84.51
Jun-02-2006,84.78
Jun-05-2006,82.95
Jun-06-2006,82.26
Jun-07-2006,80.34
Jun-08-2006,81.75
Jun-09-2006,80.57
Jun-12-2006,80.16
Jun-13-2006,79.96
Jun-14-2006,79.90
Jun-15-2006,80.90
Jun-16-2006,80.51
Jun-19-2006,79.43
Jun-20-2006,79.89
Jun-21-2006,80.40
Jun-22-2006,79.59
Jun-23-2006,79.92
Jun-26-2006,80.21
Jun-27-2006,78.70
Jun-28-2006,79.28
Jun-29-2006,81.15
Jun-30-2006,80.77
Jul-03-2006,81.12
Jul-05-2006,80.55
Jul-06-2006,81.39
Jul-07-2006,74.10
Jul-10-2006,73.11
Jul-11-2006,73.09
Jul-12-2006,72.72
Jul-13-2006,71.63
Jul-14-2006,71.22
Jul-17-2006,70.66
Jul-18-2006,70.85
Jul-19-2006,71.02
Jul-20-2006,71.10
Jul-21-2006,70.72
Jul-24-2006,71.69
Jul-25-2006,68.11
Jul-26-2006,69.06
Jul-27-2006,69.75
Jul-28-2006,70.52
Jul-31-2006,70.40
Aug-01-2006,69.91
Aug-02-2006,69.61
Aug-03-2006,69.28
Aug-04-2006,69.45
Aug-07-2006,69.00
Aug-08-2006,68.56
Aug-09-2006,68.30
Aug-10-2006,68.41
Aug-11-2006,68.53
Aug-14-2006,68.62
Aug-15-2006,69.78
Aug-16-2006,70.79
Aug-17-2006,71.20
Aug-18-2006,71.21
Aug-21-2006,71.12
Aug-22-2006,71.29
Aug-23-2006,70.34
Aug-24-2006,70.10
Aug-25-2006,69.92
Aug-28-2006,70.94
Aug-29-2006,71.61
Aug-30-2006,71.44
Aug-31-2006,71.70
Sep-01-2006,71.72
Sep-05-2006,71.35
Sep-06-2006,71.50
Sep-07-2006,70.59
Sep-08-2006,71.51
Sep-11-2006,71.35
Sep-12-2006,72.57
Sep-13-2006,73.37
Sep-14-2006,73.53
Sep-15-2006,74.14
Sep-18-2006,73.89
Sep-19-2006,73.25
Sep-20-2006,73.42
Sep-21-2006,73.11
Sep-22-2006,73.07
Sep-25-2006,73.70
Sep-26-2006,74.75
Sep-27-2006,74.65
Sep-28-2006,74.60
Sep-29-2006,74.42
Oct-02-2006,73.59
Oct-03-2006,74.03
Oct-04-2006,74.87
Oct-05-2006,75.92
Oct-06-2006,75.95
Oct-09-2006,75.80
Oct-10-2006,75.20
Oct-11-2006,75.47
Oct-12-2006,75.43
Oct-13-2006,75.40
Oct-16-2006,75.75
Oct-17-2006,75.80
Oct-18-2006,75.53
Oct-19-2006,76.40
Oct-20-2006,78.47
Oct-23-2006,80.09
Oct-24-2006,79.89
Oct-25-2006,79.46
Oct-26-2006,79.24
Oct-27-2006,78.95
Oct-30-2006,78.94
Oct-31-2006,78.84
Nov-01-2006,78.84
Nov-02-2006,78.88
Nov-03-2006,78.58
Nov-06-2006,79.59
Nov-07-2006,79.42
Nov-08-2006,79.42
Nov-09-2006,78.90
Nov-10-2006,79.19
Nov-13-2006,79.50
Nov-14-2006,80.09
Nov-15-2006,80.71
Nov-16-2006,80.29
Nov-17-2006,81.40
Nov-20-2006,81.38
Nov-21-2006,81.64
Nov-22-2006,81.47
Nov-24-2006,81.15
Nov-27-2006,80.23
Nov-28-2006,80.41
Nov-29-2006,80.98
Nov-30-2006,81.46
Dec-01-2006,79.98
Dec-04-2006,80.89
Dec-05-2006,80.56
Dec-06-2006,79.80
Dec-07-2006,79.56
Dec-08-2006,78.56
Dec-11-2006,78.85
Dec-12-2006,79.01
Dec-13-2006,79.25
Dec-14-2006,78.77
Dec-15-2006,78.31
Dec-18-2006,78.35
Dec-19-2006,78.11
Dec-20-2006,78.83
Dec-21-2006,78.81
Dec-22-2006,78.35
Dec-26-2006,78.03
Dec-27-2006,78.47
Dec-28-2006,78.16
Dec-29-2006,77.93
Jan-03-2007,78.26
Jan-04-2007,77.95
Jan-05-2007,77.42
Jan-08-2007,77.59
Jan-09-2007,77.68
Jan-10-2007,77.85
Jan-11-2007,78.65
Jan-12-2007,79.36
Jan-16-2007,79.56
Jan-17-2007,78.91
Jan-18-2007,78.81
Jan-19-2007,79.25
Jan-22-2007,78.49
Jan-23-2007,78.85
Jan-24-2007,79.49
Jan-25-2007,79.01
Jan-26-2007,78.69
Jan-29-2007,78.96
Jan-30-2007,74.70
Jan-31-2007,74.30
Feb-01-2007,73.99
Feb-02-2007,73.87
Feb-05-2007,73.93
Feb-06-2007,74.27
Feb-07-2007,74.65
Feb-08-2007,74.64
Feb-09-2007,74.54
Feb-12-2007,74.59
Feb-13-2007,76.43
Feb-14-2007,76.84
Feb-15-2007,76.91
Feb-16-2007,76.84
Feb-20-2007,76.58
Feb-21-2007,76.23
Feb-22-2007,76.35
Feb-23-2007,76.21
Feb-26-2007,76.12
Feb-27-2007,74.50
Feb-28-2007,74.08
Mar-01-2007,73.66
